2016-09-07 12:01:15,877 INFO  - Mapped "{[/students],methods=[GET],produces=[text/html]}" onto public java.lang.String by.it.academy.adorop.web.controllers.StudentController.mainPage()
2016-09-07 12:01:15,878 INFO  - Mapped "{[/students/current],methods=[GET],produces=[application/json;charset=UTF-8]}" onto public U by.it.academy.adorop.web.controllers.AbstractUserController.getCurrent(U)
2016-09-07 12:01:15,879 INFO  - Mapped "{[/teachers],methods=[GET],produces=[text/html]}" onto public java.lang.String by.it.academy.adorop.web.controllers.TeacherController.main()
2016-09-07 12:01:15,880 INFO  - Mapped "{[/teachers],methods=[POST],consumes=[application/json;charset=UTF-8]}" onto public org.springframework.http.ResponseEntity by.it.academy.adorop.web.controllers.TeacherController.createNew(by.it.academy.adorop.model.users.Teacher,org.springframework.validation.Errors)
2016-09-07 12:01:15,880 INFO  - Mapped "{[/teachers/current],methods=[GET],produces=[application/json;charset=UTF-8]}" onto public U by.it.academy.adorop.web.controllers.AbstractUserController.getCurrent(U)
2016-09-07 12:01:15,929 INFO  - Initializing EhCache CacheManager
2016-09-07 12:01:16,123 INFO  - Using DataSource [JDBC URL = jdbc:mysql://localhost:3306/elective_courses?useEncoding=yes&useSSL=false&characterEncoding=UTF-8, Username = root, partitions = 1, max (per partition) = 10, min (per partition) = 0, idle max age = 60 min, idle test period = 240 min, strategy = DEFAULT] of Hibernate SessionFactory for HibernateTransactionManager
2016-09-07 12:01:16,538 INFO  - FrameworkServlet 'dispatcher': initialization completed in 6284 ms
2016-09-07 12:01:34,905 WARN  - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcher'
2016-09-07 12:05:15,544 INFO  - Closing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Wed Sep 07 12:01:10 EET 2016]; root of context hierarchy
2016-09-07 12:05:15,564 INFO  - Shutting down EhCache CacheManager
2016-09-07 12:05:15,572 INFO  - Shutting down connection pool...
2016-09-07 12:05:15,574 INFO  - Connection pool has been shutdown.
